##,World,CountryCode,Population,Columns,CountrySize,LatestCount,Position,Date of Day 1,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note,Lockdown Date (Start),Lockdown Date (End),Lockdown Level,Note
102,Liechtenstein,,"38,128",DJ,A,83,114,#REF!,,20/3/2020,,National,,,,,,,,,,,,,
103,Lithuania,,"2,722,289",DK,A,"1,423",115,22/3/2020,,16/3/2020,27/4/2020,National,,,,,,,,,,,,,
104,Luxembourg,LUX,"625,978",DL,A,"3,840",116,18/3/2020,,18/3/2020,,National,,,,,,,,,,,,,
105,Madagascar,MDG,"27,691,018",DN,B,168,118,11/4/2020,,17/3/2020,,National,,,,,,,,,,,,,
106,Malawi,MWI,"19,129,952",DO,B,41,119,#REF!,,,,Null,No lockdown - HIGH COURT BLOCKS LOCKDOWN,,,,,,,,,,,,
107,Malaysia,MYS,"32,365,999",DP,B,"6,383",120,10/3/2020,,18/3/2020,12/5/2020,National,Partial,,,,,,,,,,,,
108,Maldives,,"540,544",DQ,A,574,121,#REF!,,11/3/2020,,National,,,,,,,,,,,,,
109,Mali,MLI,"20,250,833",DR,B,612,122,12/4/2020,,18/3/2020,,National,,,,,,,,,,,,,
110,Malta,,"441,543",DS,A,482,123,24/3/2020,,12/3/2020,,National,,,,,,,,,,,,,
111,Mauritania,MRT,"4,649,658",DT,A,8,124,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
112,Mauritius,MUS,"1,271,768",DU,A,332,125,29/3/2020,,17/3/2020,,National,Partial,,,,,,,,,,,,
113,Mexico,MEX,"128,932,753",DV,D,"26,025",126,19/3/2020,,Expected - 24/03/2020,31/5/2020,National,,,,,,,,,,,,,
114,Moldova,MDA,"4,033,963",DW,A,"4,363",127,24/3/2020,,24/3/2020,,National,,,,,,,,,,,,,
115,Monaco,,"39,242",DX,A,99,128,#REF!,,17/3/2020,,National,,,,,,,,,,,,,
116,Mongolia,MNG,"3,278,290",DY,A,41,129,#REF!,,10/3/2020,,National,,,,,,,,,,,,,
117,Montenegro,,"628,066",DZ,A,324,130,1/4/2020,,24/3/2020,,National,,,,,,,,,,,,,
118,Montserrat,,"4,992",EA,A,11,131,#REF!,British Territory,,,Null,No lockdown,,,,,,,,,,,,
119,Morocco,MAR,"36,910,560",EB,B,"5,219",132,23/3/2020,,19/3/2020,20/4/2020,National,,,,,,,,,,,,,
120,Mozambique,MOZ,"31,255,435",EC,B,81,133,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
121,Myanmar,MMR,"54,409,800",ED,B,161,134,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
122,Namibia,NAM,"2,540,905",EE,A,16,135,#REF!,,14/3/2020,,National,,,,,,,,,,,,,
123,Nepal,,"29,136,808",EF,B,82,136,#REF!,,24/3/2020,,National,,,,,,,,,,,,,
124,Netherlands,NLD,"17,134,872",EG,C,"41,087",137,7/3/2020,,16/3/2020,28/4/2020,National,,,,,,,,,,,,,
125,New Caledonia,,"285,498",EH,A,18,138,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
126,New Zealand,NZL,"4,822,233",EI,A,"1,139",139,23/3/2020,,26/3/2020,10/5/2020,National,,,,,,,,,,,,,
127,Nicaragua,NIC,"6,624,554",EJ,C,19,140,#REF!,,,,Null,No lockdown,,,,,,,,,,,,
128,Niger,NER,"24,206,644",EK,B,763,141,5/4/2020,,,,Null,No lockdown,,,,,,,,,,,,
129,Nigeria,NGA,"206,139,589",EL,D,"2,950",142,31/3/2020,,30/3/2020,,Localized,"14-day lockdowns of the states of Lagos, Abuja and Ogun",,,,,,,,,,,,
130,Northern Mariana Islands,,"57,559",EM,A,14,143,#REF!,US Territory,30/1/2020,1/2/2020,Localized,State of emergency declared for 30 days,,,,,,,,,,,,
131,Norway,NOR,"5,421,241",EN,A,"7,903",144,7/3/2020,,12/3/2020,13/4/2020,National,,,,,,,,,,,,,
132,Oman,OMN,"5,106,626",EO,A,"2,735",145,27/3/2020,,10/4/2020,8/5/2020,Localized,Muscat,16/4/2020,,Localized,Jalan Bani Bu Ali,,,,,,,,
